certificate,game,esrb_rating,platform_name,company
"34321","Aegis of Earth: Protonovus Assault","T","PlayStation 4","Aksys Games Localization, Inc."
"34322","Aegis of Earth: Protonovus Assault","T","PlayStation 3, PS Vita","Aksys Games Localization, Inc."
"10028517","Arcade Archives LIFE FORCE","E","PlayStation 4","HAMSTER Corporation"
"10025479","Chronicles of Teddy: Harmony of Exidus","E","PlayStation 4, Wii U","Aksys Games"
"10020273","Civilization Revolution 2 Plus","E10plus","PS Vita","2K Games"
"10030774","Gryphon Knight Epic","E10plus","PlayStation 4, Xbox One","Cyber Rhino Studios"
"10023893","Knight Solitaire","E","PS Vita","8floor"
"10026264","Maliya","T","PS Vita","Arrayansoft"
"34409","Mega Man Legends 2","E","PlayStation 3, PS Vita, PSP","Sony Computer Entertainment America"
"10030818","Minecraft Story Mode: Episode 5: Order Up!","E10plus","PlayStation 3, PlayStation 4","Telltale Games"
"10026145","Organic Panic","E10plus","PlayStation 4","Lastlimb LLC"
"34387","R.B.I Baseball 2016","E","PlayStation 4, Xbox One","Nighthawk Interactive LLC"
"10027315","R.B.I. Baseball 16","E","PlayStation 4, Xbox One","MLB Advanced Media L.P."
"34237","Resident Evil 6","M","PlayStation 4, Xbox One","CAPCOM USA, INC."
"10028324","Unepic","T","PlayStation 4, PS Vita","A Crowd of Monsters"
"34378","Grand Kingdom","T","PS Vita","NIS America, Inc."
"34376","Grand Kingdom","T","PlayStation 4","NIS America, Inc."
"10028812","Tetrobot &amp; Co.","E","PlayStation 4","KONEKO"
"34282","Disney Art Academy","E","Nintendo 3DS","Nintendo"
"34309","Hyrule Warriors Legends","T","Nintendo 3DS","Nintendo"
"34342","Star Fox Guard","E10plus","Wii U","Nintendo"
"34340","Star Fox Zero","E10plus","Wii U","Nintendo"
"10020015","Warhedz","E10plus","PlayStation 4","Atom Republic"
"34291","Bully","T","PlayStation 4","Rockstar Games"
"34365","Manhunt","M","PlayStation 4","Rockstar Games"
"34436","The Witcher 2: Assassins of Kings Enhanced Edition","M","Xbox 360, Xbox One","CD Projekt RED S.A."
"10030877","Broforce","M","PlayStation 4","Devolver Digital"
"10030748","Catlateral Damage","E","PlayStation 4","Fire Hose Games"
"10028764","Day of the Tentacle Remastered","T","PlayStation 4, PS Vita","Double Fine Productions"
"10030885","Dragon Fantasy: The Black Tome of Ice","E10plus","PlayStation 4","Muteki Corporation"
"34089","Okage: Shadow King","T","PlayStation 4","Sony Computer Entertainment America"
"10029335","Stranger of Sword City","T","Xbox One","Experience Inc."
"10025604","101 Ways To Die","T","PlayStation 4, Xbox One","Vision Games Publishing"
"34360","Anima: Gate of memories","T","Windows PC, PlayStation 4, Xbox One","Badland Games"
"34307","Mario and Sonic at the Rio 2016 Olympic Games","E10plus","Nintendo 3DS","Nintendo"
"34319","Pokkén Tournament","E10plus","Wii U","Nintendo"
"10027590","Shred It!","E","Xbox One","Extra Mile Studios Ltd"
"10027253","Spareware","T","Xbox One","Rust0 Games Oy"
"10030989","Tales from Space: Mutant Blobs Attack","E10plus","Xbox 360, Xbox One","Midnight City"
"10027929","Bird Mania Party","E","Wii U","Teyon"
"10023295","Dig Dug II","E","Wii U","BANDAI NAMCO Games America Inc."
"10020756","Mutant Mudds Super Challenge","E","Nintendo 3DS, Wii U","Renegade Kid"
"10015471","U Host","E","Wii U","Bear Box Media"
"10024329","Dungeon of the Endless","T","Xbox One","Amplitude Studios"
"10028595","Joe Dever's Lone Wolf","T","PlayStation 4, Xbox One","505 Games"
"10029845","Arcade Archives BUBBLE BOBBLE","E","PlayStation 4","HAMSTER Corporation"
"10015942","Candlelight","E","PlayStation 4","Pixel Maverick Games"
"10030715","Murasaki Mist: Akara's Journey","T","PS Vita","Hollow Games CO S.A. de C.V."
"10028973","Paragon","T","PlayStation 4","Epic Games"
"10030627","Salt and Sanctuary","M","PlayStation 4","Ska Studios"
"10030230","SAMURAI WARRIORS 4 Empires","T","PlayStation 3, PS Vita","KOEI TECMO America Corporation"
"10030637","Sheltered","T","PlayStation 4, Xbox One","Team 17 Digital Limited"
"34375","XCOM 2","T","Linux, Macintosh","Feral Interactive Limited"
"34374","LEGO Marvel's Avengers","E10plus","Macintosh","Feral Interactive Limited"
"10026352","MagNets: Fully Charged","E10plus","Xbox One","Total Monkery Ltd"
"10027489","Ori and the Blind Forest: Definitive Edition","E","Xbox One","Microsoft"
"10027070","Grumpy Reaper","E10plus","Wii U","EnjoyUp Games"
"10027564","Jewel Quest","E","Wii U","iWin Inc."
"34299","Sébastien Loeb Rally EVO","E","Windows PC, PlayStation 4, Xbox One","Milestone SRL via G. Fara No. 35"
"10006438","Skullgirls Encore","T","Xbox 360, Xbox One","MarvelousAQL"
"10026091","Dreii","E","PlayStation 4, PS Vita","bitforge AG"
"10030418","Powell Lacrosse 16","E","PlayStation 4, Xbox One","Big Ant Studios"
"10030206","Whitetail Challenge","T","PlayStation 3","PSR Outdoors"
"10025675","Assault Android Cactus","E10plus","PlayStation 4, Xbox One","Witch Beam"
"10009887","Blast 'Em Bunnies","E10plus","Nintendo 3DS, PlayStation 4, Xbox One","Nnooo"
"10030528","Kholat","T","PlayStation 4, Xbox One","Imagination S.C. Lukasz Kubiak, Bartosz Moskala"
"34190","Ratchet &amp; Clank","E10plus","PlayStation 4","Sony Computer Entertainment America"
"34264","Rise of the Kasai","M","PlayStation 4","Sony Computer Entertainment America"
"10029624","Tetraminos","E","PlayStation 4, Xbox One","Bigben Interactive"
"34364","Dark Souls III","M","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"34358","Nights of Azure","T","Windows PC, PlayStation 4","KOEI TECMO America Corporation"
"10026569","Action Henk","E","PlayStation 4, Xbox One","Curve Digital"
"10027604","Chasing Dead","M","Wii U","2020 Venture"
"34373","Dead Island Definitive Collection","M","Linux, Macintosh, Windows PC, PlayStation 4, Xbox One","Koch Media"
"34349","Dead Island Retro Revenge","M","Windows PC, PlayStation 4, Xbox One","Koch Media"
"10023300","Pac-Man 2: The New Adventures","E","Wii U","BANDAI NAMCO Games America Inc."
"10030220","Prison Architect: Xbox One Edition","M","Xbox One","Double Eleven Limited"
"10029752","STEEL RIVALS","T","Wii U","John Kismul"
"10026228","The Hand of Panda","E","Nintendo 3DS","Ninja Playground LLC"
"34354","Hitman","M","Windows PC, PlayStation 4, Xbox One","Square Enix, Inc"
"10029745","Arcade Archives DOUBLE DRAGON II The Revenge","E10plus","PlayStation 4","HAMSTER Corporation"
"10028518","Arcade Archives TwinBee","E","PlayStation 4","HAMSTER Corporation"
"10028853","BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien","T","PlayStation 4","Choice Provisions"
"10019032","Gunscape","T","PlayStation 4, Xbox One","Blowfish Studios"
"34361","Heavy Rain","M","PlayStation 4","Sony Computer Entertainment America"
"10022024","Ironcast","E10plus","PlayStation 4, Xbox One","Ripstone LTD."
"10026845","McDroid","E","PlayStation 4, Xbox One","GRIP Digital s.r.o."
"10023894","Pirate Solitaire","E","PS Vita","8floor"
"34283","République","M","PlayStation 4","GungHo Online Entertainment America, Inc."
"10023897","Royal Defense: Invisible Threat","E10plus","PlayStation 4, PS Vita","8floor"
"10022988","Screencheat","E10plus","PlayStation 4, Xbox One","Surprise Attack Games"
"10027770","Square Heroes","T","PlayStation 4","Gnomic Studios"
"34250","Valkyria Chronicles Remastered","T","PlayStation 4","SEGA"
"34332","SUPERHOT","T","Macintosh, Windows PC, PlayStation 4, Xbox One","SUPERHOT Sp. z o.o."
"34348","MLB The Show 16","E","PlayStation 3","Sony Computer Entertainment America"
"34347","MLB The Show 16 ","E","PlayStation 4","Sony Computer Entertainment America"
"34357","Tales from the Borderlands: A Telltale games series","M","Windows PC, PlayStation 4, Xbox One","2K Games"
"34356","Tales from the Borderlands: A Telltale Games Series","M","PlayStation 3, Xbox 360","2K Games"
"10028385","The Solus Project","T","Xbox One","GRIP Digital s.r.o."
"10032237","We Are the Dwarves","T","PlayStation 4, Windows PC, Xbox One","Whale Rock Games"
"10028430","Sadame","T","Nintendo 3DS","Rising Star Japan"
"10010916","Smart Adventures Mission Math","E","Wii U","Engine Software"
"10025083","Toy Defense","E10plus","Nintendo 3DS","CIRCLE Entertainment (HK) LTD"
"10029642","Volcanic Field 2","E10plus","Wii U","Slyon Studios LLC"
"10029590","Reagan Gorbachev","M","Xbox One","Team2Bit"
"10029778","The Flame in the Flood","T","Xbox One","The Molasses Flood"
"10030379","Hitman GO: Definitive Edition","E10plus","PlayStation 4, PS Vita, Windows PC","SQUARE ENIX Co., LTD."
"10027930","Ninja Senki DX","E10plus","PlayStation 4, PS Vita","Tribute Games Inc."
"10027619","REPLAY : VHS IS NOT DEAD","E","PlayStation 4, Wii U, Xbox One","KONEKO"
"10029541","SwapQuest","E10plus","PS Vita, Xbox One","Rebusmind"
"10003814","Toki Tori 2+","E","PlayStation 4","Two Tribes Publishing B.V."
"10030507","Walking Dead Michonne: Episode 1 In Too Deep","M","PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Telltale Games"
"34353","The Sims&#8482; 4 Romantic Garden Stuff","T","Macintosh, Windows PC","Electronic Arts"
"34352","The Sims&#8482; 4 Movie Hangout Stuff","T","Macintosh, Windows PC","Electronic Arts"
"10027961","Wondershot ","E10plus","PlayStation 4, Xbox One","Leikir Studio"
"34336","Sherlock Holmes: The Devil's Daughter","T","Windows PC, PlayStation 4, Xbox One","Bigben Interactive"
"10023846","Double Dragon III: The Sacred Stones","E10plus","Wii U","ArcSystemWorks Co,. Ltd."
"10025003","Musicverse: Electronic Keyboard","E","Nintendo 3DS","Abylight"
"10030147","Super Blast Deluxe","E","PlayStation 4, PS Vita","Raptus Games"
"10030227","Tron Run/r","E10plus","PlayStation 4, Xbox One","Disney Interactive Studios"
"34343","Call of Duty: Black Ops III Multiplayer Starter Pack","M","Windows PC","Activision-Blizzard"
"10027536","D/Generation HD","E10plus","Nintendo Switch, PlayStation 4, Xbox One","West Coast Software Limited"
"10023771","In Space We Brawl: Full Arsenal Edition","E","Xbox One","Forge Reply"
"10016989","Mitsurugi Kamui Hikae","T","PlayStation 4, Xbox One","Active Gaming Media, Inc."
"10022344","Pixel Piracy","T","PlayStation 4, Xbox One","505 Games"
"10029539","Q*Bert: Rebooted","E10plus","Xbox One","LOOT Interactive, LLC"
"34341","7th Dragon III Code: VFD","T","Nintendo 3DS","SEGA"
"34339","Hidden Object Classic Legends","T","Windows PC","Tri Synergy Inc."
"34338","Farm Expert 2016","E","Windows PC","Tri Synergy Inc."
"34337","Car Mechanic Simulator 2015","E","Windows PC","Tri Synergy Inc."
"34277","Fire Emblem Fates: Birthright","T","Nintendo 3DS","Nintendo"
"34278","Fire Emblem Fates: Conquest","T","Nintendo 3DS","Nintendo"
"10029953","Cutie Clash","E","Wii U","Yazar Media Group LLC"
"10028372","Cutie Pets Go Fishing","E","Wii U","Yazar Media Group LLC"
"10029161","Outside the Realm","E","Wii U","TreeFall Studios"
"10027797","Word Puzzles by POWGI","E","Nintendo 3DS, Wii U","Lightwood Games"
"10028463","Factotum 90","E","Xbox One","TACS Games Limited"
"10025502","Assassin's Creed Chronicles: Russia","T","PlayStation 4, Xbox One","Ubisoft"
"10030367","Firewatch","M","PlayStation 4","Campo Santo"
"10028334","MOP: Operation Cleanup","E","PlayStation 4, PS Vita","EnsenaSoft, S.A. de C.V."
"10024717","Siralim","E10plus","PlayStation 4, PS Vita","Thylacine Studios"
"10030719","AIPD - Artificial Intelligence Police Department","E10plus","PlayStation 4, Xbox One","Morphicon Media AG"
"34320","SAMURAI WARRIORS 4 Empires","T","PlayStation 4","KOEI TECMO America Corporation"
"34334","Medieval II: Total War","T","Linux, Macintosh","Feral Interactive Limited"
"10026683","Bike Mayhem 2","E","Xbox One","Goldmark Studios"
"10025916","Dad Beat Dads","T","Xbox One","Stellar Jay Studios"
"10027458","Fortified","T","Xbox One","Clapfoot Inc."
"34176","The Legend of Heroes: Trails of Cold Steel","T","PlayStation 3, PS Vita","XSEED JKS, Inc."
"22031","Wild Gunman","E","Wii U","Nintendo"
"10026136","FreezeME","E","PlayStation 4, Wii U, Xbox One","RNC"
"10027831","Amazing Discoveries In Outer Space","E","PlayStation 4","Cosmic Picnic"
"10022089","Cobalt","E10plus","Xbox 360, Xbox One","Microsoft"
"10024302","Crypt of the NecroDancer","T","PlayStation 4, PS Vita, Xbox One","TranscendSense Technologies Inc. dba Brace Yourself Games"
"10027608","DIGIMON STORY CYBER SLEUTH","T","PS Vita","BANDAI NAMCO Entertainment America Inc."
"10028630","Nitroplus Blasterz: Heroines Infinite Duel","T","PlayStation 3","XSEED JKS, Inc."
"10026086","Not A Hero","M","PlayStation 4","Devolver Digital"
"10023896","Royal Defense","E10plus","PS Vita","8floor"
"10024129","Company of Heroes 2: The British Forces","M","Windows PC","Sega"
"10024873","Company of Heroes 2: The Western Front Armies","M","Windows PC","Sega"
"10026004","Amazing Princess Sarah","T","Xbox One","Haruneko Entertainment"
"10030538","Bombshell","M","Windows PC","3D Realms"
"10025257","ROBLOX for Xbox","E10plus","Xbox One","ROBLOX"
"10022317","The Living Dungeon","T","Xbox One","Radiation Burn Limited"
"10026032","This War of Mine: The Little Ones","M","PlayStation 4, Xbox One","Koch Media GmbH"
"10025336","Crazy Train","E","Nintendo DSi","F84 Games"
"10024340","Hello Kitty's Magic Apron","E","Nintendo 3DS","Bergsala Lightweight LLC"
"10024104","Joe's Diner","E10plus","Wii U","Joindots GmbH"
"10023853","Level 22","E10plus","PlayStation 3, PlayStation 4, PS Vita, Wii U, Xbox One","Moving Player"
"10027723","MINI-GAMES MADNESS VOLUME: #1 - HELLO WORLD!","E","Wii U","Justin Sargent"
"10028547","RV-7 My Drone","E","Nintendo 3DS","EnjoyUp Games"
"10014203","Shadow Puppeteer","T","Wii U","Sarepta studio AS"
"34245","LEGO Marvel's Avengers","E10plus","Nintendo 3DS","Warner Bros."
"34248","LEGO Marvel's Avengers","E10plus","PS Vita","Warner Bros."
"34286","LEGO Marvel's Avengers","E10plus","Windows PC, PlayStation 4, Xbox One","Warner Bros."
"34304","LEGO Marvel's Avengers","E10plus","PlayStation 3, Wii U, Xbox 360","Warner Bros."
"10022459","Saturday Morning RPG","E10plus","PlayStation 4, PS Vita, Xbox One","Mighty Rabbit Studios, Inc."
"10029658","Gemini: Heroes Reborn","T","PlayStation 4, Xbox One","Phosphor Games, LLC"
"10028156","Clockwork Tales: Of Glass and Ink","T","PlayStation 4, Xbox One","Artifex Mundi Sp. z.o.o"
"10025844","Electronic Super Joy","M","PlayStation 4, Xbox One","LOOT Interactive, LLC"
"34219","Mario &amp; Luigi: Paper Jam","E","Nintendo 3DS","Nintendo"
"34328","Mystery Case Files: Dire Grove","E10plus","Nintendo 3DS","UIG GmbH"
"34327","Mystery Case Files: Return to Ravenhearst","E10plus","Nintendo 3DS","UIG GmbH"
"34326","Mystery Case Files: Ravenhearst","E10plus","Nintendo 3DS","UIG GmbH"
"10026906","Pet Inn 3D","E","Nintendo 3DS","Neopica BVBA"
"10027318","5 Star Wrestling: ReGenesis","T","PlayStation 4","Serious Parody Ltd"
"10025017","A Boy and His Blob","E","PlayStation 3, PlayStation 4","Majesco Entertainment"
"10023584","Albedo: Eyes from Outer Space","T","PlayStation 4, Xbox One","Merge Games"
"10030377","Blade &amp; Soul","M","Windows PC","NCsoft"
"34312","Mortal Kombat XL","M","Windows PC, PlayStation 4, Xbox One","Warner Bros."
"10028859","Attractio","T","PlayStation 4, PS Vita","BANDAI NAMCO Entertainment America Inc."
"10026152","Croixleur Sigma","E10plus","PlayStation 4","Active Gaming Media, Inc."
"33995","Dark Cloud 2","T","PlayStation 4","Sony Computer Entertainment America"
"10028516","Inside My Radio","E10plus","PlayStation 4","Seaven Studio"
"10023257","-KLAUS-","E10plus","PlayStation 4","LA COSA ENTERTAINMENT"
"10026399","Red Game Without a Great Name","E","PS Vita","iFun4all sp. z o. o."
"10025309","Resident Evil 0","M","PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Capcom Entertainment, Inc."
"10027839","Stardust Vanguards","E10plus","PlayStation 4","ZANRAI INTERACTIVE, LLC"
"10029555","Tachyon Project","E","PlayStation 4, PS Vita, Wii U","Eclipse Games"
"10027607","The Deadly Tower of Monsters","T","PlayStation 4","Atlus U.S.A., Inc."
"34314","Plants vs. Zombies&#8482; Garden Warfare 2","E10plus","Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"34184","The Witness","E","Windows PC, PlayStation 4, Xbox One","Thekla, Inc."
"34323","DC Universe Online","T","Xbox One","Daybreak Game Company LLC"
"34315","EA SPORTS&#8482; UFC&#174; 2","T","PlayStation 4, Xbox One","Electronic Arts"
"10028628","Oxenfree","T","Nintendo Switch, PlayStation 4, Xbox One","Night School Studio"
"34228","Pokémon Rumble World","E10plus","Nintendo 3DS","Nintendo"
"10019710","ZHEROS","E10plus","PlayStation 4, Xbox One","Rimlight Studios"
"10027585","Lionel City Builder 3D","E","Nintendo 3DS","Big John Games"
"10022691","Near Earth Objects","E","Wii U","Form Up Studios LLC"
"10025301","Slice It!","E","Nintendo 3DS","Aksys Games"
"10021718","The Perplexing Orb","E","Wii U","TreeFall Studios"
"10023465","WICKED MONSTERS BLAST! HD PLUS","E10plus","Wii U","Corecell Technology Co.,Ltd."
"34311","Assassin's Creed Chronicles Trilogy ","T","PlayStation 4, Xbox One","Ubisoft"
"10029282","ARSLAN: THE WARRIORS OF LEGEND ","T","PlayStation 3, PlayStation 4","KOEI TECMO America Corporation"
"10027417","Hyperdrive Massacre","E","Xbox One","34BigThings"
"33989","Arc The Lad: Twilight of the Spirits","T","PlayStation 4","Sony Computer Entertainment America"
"10023629","Assassin's Creed Chronicles: India","T","PlayStation 4, Xbox One","Ubisoft"
"10029982","DOGCHILD","E10plus","PlayStation 4","Animatoon Studio S.L."
"10029556","Gone Home: Console Edition","M","PlayStation 4, Xbox One","Majesco Entertainment"
"34329","Puzzle Quest: Challenge of the Warlords","E10plus","PlayStation 4","D3Publisher of America"
"10018286","Tharsis","M","PlayStation 4","Choice Provisions"
"10026389","Cubot - The Complexity of Simplicity","E","Xbox One","Nicoplv Games"
"10029285","Sora","T","Windows PC","Fruitbat Factory, Ltd"
"34306","Assassin's Creed Chronicles Trilogy ","T","PS Vita","Ubisoft"
"34318","Grid Autosport","E","Linux, Macintosh","Feral Interactive Limited"
"34290","Stranger of Sword City","T","Windows PC, PS Vita","NIS America, Inc."
"10022143","Adventures of Bayou Billy","E10plus","Wii U","Konami Digital Entertainment"
"10028109","AVOIDER","E","Wii U","RCMADIAX LLC"
"10028715","Bigley's Revenge","T","Wii U","Ninja Pig Studios"
"10028085","Discovery","E","Wii U","Joachim Graesser"
"10023610","Hogan's Alley","E10plus","Wii U","Nintendo"
"10026958","My Pets","E","Nintendo 3DS","Neopica BVBA"
"10004167","Ocean Runner","E","Nintendo 3DS","Teyon"
"10028128","TABLETOP GALLERY","E","Wii U","RCMADIAX LLC"
"10026589","G Prime: Into The Rain","E","Xbox One","Code-Monkeys"
"10030670","ACT IT OUT! A Game of Charades","E","PlayStation 4","Snap Finger Click Ltd"
"10022414","Amplitude","E","PlayStation 3, PlayStation 4","Harmonix Music Systems, Inc."
"10029018","ARK: Survival Evolved","T","Xbox One","Wildcard Properties (D.B.A. Studio Wildcard)"
"10027718","Hardware&#8482;: Rivals","E10plus","PlayStation 4","Sony Computer Entertainment Inc."
"10024835","Rebel Galaxy","T","PlayStation 4, Xbox One","Double Damage Games"
"10023335","The Long Dark","T","Xbox One","Hinterland Studio Inc."
"10028758","Beatsplosion for Kinect","E","Xbox One","Virtual Air Guitar Company Oy"
"34240","DIGIMON STORY CYBER SLEUTH","T","PlayStation 4","BANDAI NAMCO Entertainment America Inc."
"10027687","Molly Maggot","E10plus","Wii U","GNOBSOFTWARE"
"34298","SENRAN KAGURA ESTIVAL VERSUS","M","PlayStation 4","XSEED JKS, Inc."
"34297","SENRAN KAGURA ESTIVAL VERSUS","M","PS Vita","XSEED JKS, Inc."
"34210","Overwatch","T","Windows PC, PlayStation 4, Xbox One","Activision-Blizzard"
"34272","Rise of the Tomb Raider","M","Windows PC","Square Enix, Inc"
"33880","Legend of Zelda: Twilight Princess HD","T","Wii U","Nintendo"
"34032","The Witch and the Hundred Knight: Revival Edition","T","PlayStation 4","NIS America, Inc."
"34284","Tom Clancy's The Division ","M","Windows PC, PlayStation 4, Xbox One","Ubisoft"
"34285","Trackmania Turbo","E","Windows PC, PlayStation 4, Xbox One","Ubisoft"
"10024197","Frizzy","E","Xbox One","Team Frizz, inc."
"33990","Fantavision","E","PlayStation 4","Sony Computer Entertainment America"
"10028522","Hatoful Boyfriend: Holiday Star","E10plus","PlayStation 4, PS Vita","Devolver Digital"
"10018528","Infinifactory","T","PlayStation 4","Zachtronics LLC"
"10029007","Minecraft Story Mode: A Block and a Hard Place","E10plus","PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Telltale Games"
"10027807","Pinball Arcade - Frankenstein","T","PlayStation 3, PlayStation 4, PS Vita","FarSight Studios"
"10024786","The Treasures of Montezuma 4","T","PS Vita","SPL"
"10028314","Trine 3: The Artifacts of Power","E10plus","PlayStation 4","Frozenbyte"
"34287","Thief","M","Macintosh","Feral Interactive Limited"
"34265","Far Cry Primal ","M","Windows PC, PlayStation 4, Xbox One","Ubisoft"
"34280","ARSLAN: THE WARRIORS OF LEGEND ","T","Windows PC, PlayStation 4, Xbox One","KOEI TECMO America Corporation"
"34261","Megadimension Neptunia VII","T","Windows PC, PlayStation 4","Idea Factory International"
"10025409","Battle High 2 A+","T","Xbox One","Mattrified Games, LLC"
"10023883","Island Flight Simulator","E","Wii U","Joindots GmbH"
"10029529","Minecraft: Wii U Edition","E10plus","Wii U","Microsoft"
"10010426","TEMPLE OF YOG","E10plus","Wii U","CHUDCHUD Industries"
"10024829","The Delusions of Von Sottendorff and his square mind","E","Nintendo 3DS","Delirium Studios Evolution S.L."
"10027661","The Legend of Dark Witch 2","E10plus","Nintendo 3DS","CIRCLE Entertainment (HK) LTD"
"34308","Homeworld: Deserts of Kharak","E10plus","Windows PC","Gearbox Software LLC"
"33886","Beyond: Two Souls","M","PlayStation 4","Sony Computer Entertainment America"
"10028234","King's Quest Chapter 2: Rubble Without a Cause","E10plus","PlayStation 3, PlayStation 4, Windows PC, Xbox 360, Xbox One","Activision-Blizzard"
"33998","PaRappa the Rapper 2","E","PlayStation 4","Sony Computer Entertainment America"
"34296","Dying Light: The Following - Enhanced Edition","M","Windows PC, PlayStation 4, Xbox One","Warner Bros."
"34266","Nitroplus Blasterz: Heroines Infinite Duel","T","PlayStation 4","XSEED JKS, Inc."
"34251","XCOM 2","T","Macintosh, Windows PC","2K Games"
"34276","Les Sims&#8482; 4 Vivre Ensemble","T","Macintosh, Windows PC","Electronic Arts"
"34253","Return to PopoloCrois: A STORY OF SEASONS Fairytale","E10plus","Nintendo 3DS","XSEED JKS, Inc."
"34252","Unravel","E","Windows PC, PlayStation 4, Xbox One","Electronic Arts"
"10022325","6180 the moon","E","Xbox One","Turtle Cream"
"33706","Devil's Third","M","Wii U","Nintendo"
"10025862","Starpoint Gemini 2","T","Xbox One","Intercorona d.o.o. dba Little Green Men Games"
"34267","Tomb Raider: Anniversary","T","Macintosh","Feral Interactive Limited"
"10010915","Dinox","E10plus","Wii U","Engine Software"
"10021779","FAST Racing NEO","E","Wii U","Shin'en Multimedia GmbH"
"10024264","Jones on Fire","E","Wii U","Joindots GmbH"
"10027666","Petit Novel series Harvest December ","M","Nintendo 3DS","CIRCLE Entertainment (HK) LTD"
"10026199","Radiohammer","T","Nintendo 3DS","Aksys Games"
"10025814","Rytmik Ultimate","E","Nintendo 3DS","CINEMAX, s.r.o."
"10025150","Sketch Wars","E","Wii U","Wildcard Studios"
"10022396","SteamWorld Heist","E10plus","Nintendo 3DS","Image &amp; Form International AB"
"10017928","The Four Kings Casino and Slots","T","PlayStation 4","Digital Leisure Inc."
"10027374","Zotrix","E","PlayStation 4","UFO Interactive Games"
"10025984","Among the Sleep","T","PlayStation 4, Xbox One","Krillbite Studio"
"10028792","Taco Master","E","PS Vita","Kaxan Games S. de R.L. de C.V."
"10018754","Bastion","E10plus","PlayStation 4, PS Vita, Xbox One","Warner Bros."
"10025471","Fat Princess Adventures","T","PlayStation 4","Sony Computer Entertainment Inc."
"10025726","FINAL FANTASY VII","T","PlayStation 4","SQUARE ENIX Co., LTD."
"10021498","GUNS UP!","T","PlayStation 4","Sony Computer Entertainment Inc."
"34294","Max Payne","M","PlayStation 4","Rockstar Games"
"10027617","Nuclear Throne","E10plus","PlayStation 4, PS Vita","Vlambeer"
"10023014","THE BIT.TRIP","E","PlayStation 4, PS Vita","Choice Provisions"
"34249","Naruto Shippuden: Ultimate Ninja Storm 4","T","Windows PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America Inc."
"33994","Dark Cloud","T","PlayStation 4","Sony Computer Entertainment America"
"34293","Grand Theft Auto III","M","PlayStation 4","Rockstar Games"
"34295","Grand Theft Auto San Andreas","M","PlayStation 4","Rockstar Games"
"34292","Grand Theft Auto Vice City","M","PlayStation 4","Rockstar Games"
"33992","Mark of Kri","M","PlayStation 4","Sony Computer Entertainment America"
"33993","Rogue Galaxy","T","PlayStation 4","Sony Computer Entertainment America"
"33997","Twisted Metal Black","M","PlayStation 4","Sony Computer Entertainment America"
"33885","War of the Monsters","T","PlayStation 4","Sony Computer Entertainment America"
"10026448","Shadow Complex Remastered","T","PlayStation 4, Windows PC, Xbox One","Epic Games"
"34133","Xenoblade Chronicles X","T","Wii U","Nintendo"
"10029380","200% Mixed Juice!","T","Windows PC","Fruitbat Factory, Ltd"
"10020755","Dementium Remastered","M","Nintendo 3DS","Renegade Kid"
"10029381","ManaCollect","T","Windows PC","Fruitbat Factory, Ltd"
"10003381","The Mysterious Case of Dr. Jekyll and Mr. Hyde","T","Nintendo 3DS, Nintendo DSi","Joindots GmbH"
"10027259","Arcade Archives THE LEGEND OF KAGE","E10plus","PlayStation 4","HAMSTER Corporation"
"10019077","BigFest","E10plus","PS Vita","Sony Computer Entertainment Inc."
"10026859","Chivalry: Medieval Warfare","M","PlayStation 4, Xbox One","Activision-Blizzard"
"10025929","DARIUSBURST CHRONICLE SAVIOURS","E","PlayStation 4, PS Vita","DEGICA Co.,Ltd."
"10027131","Cutie Pets Jump Rope","E","Wii U","Yazar Media Group LLC"
"10016766","DYNASTY WARRIORS 8 Empires","T","PS Vita","KOEI TECMO America Corporation"
"10025885","Handball 16","E","PlayStation 3, PlayStation 4, PS Vita, Xbox 360, Xbox One","Bigben Interactive"
"10026957","Pet Hospital","E","Nintendo 3DS","Neopica BVBA"
"34243","Life is Strange","M","PlayStation 3, Xbox 360","Square Enix, Inc"
"34241","Battleborn","T","Windows PC, PlayStation 4, Xbox One","2K Games"
"34242","Life is Strange","M","Windows PC, PlayStation 4, Xbox One","Square Enix, Inc"
"34246","Atelier Escha &amp; Logy Plus ~Alchemists of the Dusk Sky~","E10plus","PS Vita","KOEI TECMO America Corporation"
"10012136","World of Tanks Blitz","T","Windows PC","Wargaming.net, LLP"
"10028718","World of Tanks Generals","E10plus","Windows PC","Wargaming.net, LLP"
"10003193","World of Warships","T","Windows PC","Wargaming.net, LLP"
"10027256","Arcade Archives Shanghai III","E","PlayStation 4","HAMSTER Corporation"
"10010509","Beyond Two Souls","M","PlayStation 4","Sony Computer Entertainment Inc."
"10027460","Brunswick Pro Bowling","E","PlayStation 4, Wii U","FarSight Studios"
"10024333","Eiyuu Senki - The World Conquest","M","PlayStation 3","Fruitbat Factory, Ltd"
"10027562","Miko Mole","E10plus","PlayStation 4","EnsenaSoft, S.A. de C.V."
